품목,롯데백화점,농협하나로클럽,홈플러스,GS슈퍼,롯데키즈마트
주소,부산 부산진구 가야대로 772,부산 부산진구 중앙대로783번길 14,부산 부산진구 동천로 4,부산 부산진구 당감서로80번길 19,부산 부산진구 신천대로 241
쌀,65900,47500,49900,59800,53900
밀가루,1960,4600,4600,4980,4600
라면,1000,820,820,820,820
설탕,5850,1980,1980,2180,1980
식용유,5180,10800,10800,8480,6680
두부,4600,5280,4490,3840,4700
참기름,6980,7580,7690,7980,7060
간장,6780,6350,6750,7480,5720
분말커피,9000,24800,7990,8050,7920
커피크림,2900,5100,2730,2660,1930
가루비누,8690,9900,19800,8500,7920
화장지,21900,21900,27000,10000,34000
우유,2650,2550,2570,2650,2570
콜라,4500,3400,3740,2240,1433
소주,1650,1390,1380,1430,1380
맥주,1600,1540,1810,1830,1580
달걀,5500,4110,3890,4980,4990
쇠고기(한우),21800,10660,13590,15600,11800
쇠고기(수입),미판매,미판매,16450,미판매,16900
돼지고기,3580,3280,2590,3160,2680
닭고기,9800,5530,8490,9980,9980
부엌용세제,3520,3980,10900,2500,4700
사이다,3580,2880,2880,3080,2233
배추,9900,4980,5490,3980,4320
무,5900,3980,2990,3980,2560
대파,2900,1980,3590,2980,2890
양파,6300,2326,2990,2760,2320
마늘,2280,1228,1590,1980,1330
고춧가루,9800,3190,4760,4900,1400
사과,19800,17960,29970,14700,15980
배,17800,9950,17900,24500,39750
밀감,3120,4650,4660,5200,7450
고등어,7800,3990,2700,5800,2450
조기,28000,미판매,미판매,미판매,11900
명태,미판매,미판매,3500,5900,6800
오징어,11800,8900,10000,4900,9900
갈치,미판매,미판매,6600,9900,9960